State,DemVote,RepVote,Year,South 
Iowa,45.89,54.11,1984,FALSE
Kansas,32.6,67.4,1984,FALSE
Kentucky,39.4,60.6,1984,FALSE
Louisiana,38.18,61.82,1984,TRUE
Maine,38.78,61.22,1984,FALSE
Maryland,47.02,52.98,1984,FALSE
Massachusetts,48.43,51.57,1984,FALSE
Michigan,40.24,59.76,1984,FALSE
Minnesota,49.72,50.28,1984,FALSE
Mississippi,37.42,62.58,1984,TRUE
Missouri,39.98,60.02,1984,FALSE
Montana,38.18,61.82,1984,FALSE
Nebraska,28.81,71.19,1984,FALSE
Nevada,31.97,68.03,1984,FALSE
New Hampshire,30.94,69.06,1984,FALSE
New Jersey,39.2,60.8,1984,FALSE
New Mexico,39.23,60.77,1984,FALSE
New York,45.83,54.17,1984,FALSE
North Carolina,37.89,62.11,1984,TRUE
North Dakota,33.8,66.2,1984,FALSE
Ohio,40.14,59.86,1984,FALSE
Oklahoma,30.67,69.33,1984,FALSE
Oregon,43.74,56.26,1984,FALSE
Pennsylvania,45.99,54.01,1984,FALSE
Rhode Island,48.02,51.98,1984,FALSE
South Carolina,35.57,64.43,1984,TRUE
South Dakota,36.53,63.47,1984,FALSE
Tennessee,41.57,58.43,1984,TRUE
Texas,36.11,63.89,1984,TRUE
Utah,24.68,75.32,1984,FALSE
Vermont,40.81,59.19,1984,FALSE
Virginia,37.09,62.91,1984,TRUE
Washington,42.86,57.14,1984,FALSE
West Virginia,44.6,55.4,1984,FALSE
Wisconsin,45.02,54.98,1984,FALSE
Wyoming,28.24,71.76,1984,FALSE
Alabama,39.86,60.14,1988,TRUE
Alaska,36.27,63.73,1988,FALSE
Arizona,38.74,61.26,1988,FALSE
Arkansas,42.19,57.81,1988,TRUE
California,47.56,52.44,1988,FALSE
Colorado,45.28,54.72,1988,FALSE
Connecticut,46.87,53.13,1988,FALSE
Delaware,43.48,56.52,1988,FALSE
DC,82.65,17.35,1988,FALSE
Florida,38.51,61.49,1988,TRUE
Georgia,39.5,60.5,1988,TRUE
Hawaii,54.27,45.73,1988,FALSE
Idaho,36.01,63.99,1988,FALSE
Illinois,48.6,51.4,1988,FALSE
Indiana,39.69,60.31,1988,FALSE
Iowa,54.71,45.29,1988,FALSE
Kansas,42.56,57.44,1988,FALSE
Kentucky,43.88,56.12,1988,FALSE
Louisiana,44.06,55.94,1988,TRUE
Maine,43.88,56.12,1988,FALSE
Maryland,48.2,51.8,1988,FALSE
Massachusetts,53.23,46.77,1988,FALSE
Michigan,45.67,54.33,1988,FALSE
Minnesota,52.91,47.09,1988,FALSE
Mississippi,39.07,60.93,1988,TRUE
Missouri,47.84,52.16,1988,FALSE
Montana,46.2,53.8,1988,FALSE
Nebraska,39.2,60.8,1988,FALSE
Nevada,37.92,62.08,1988,FALSE
New Hampshire,36.29,63.71,1988,FALSE
New Jersey,42.6,57.4,1988,FALSE
New Mexico,46.9,53.1,1988,FALSE
New York,51.62,48.38,1988,FALSE
North Carolina,41.71,58.29,1988,TRUE
North Dakota,42.97,57.03,1988,FALSE
Ohio,44.15,55.85,1988,FALSE
Oklahoma,41.28,58.72,1988,FALSE
Oregon,51.28,48.72,1988,FALSE
Pennsylvania,48.39,51.61,1988,FALSE
Rhode Island,55.64,44.36,1988,FALSE
South Carolina,37.58,62.42,1988,TRUE
South Dakota,46.51,53.49,1988,FALSE
Tennessee,41.55,58.45,1988,TRUE
Texas,43.35,56.65,1988,TRUE
Utah,32.05,67.95,1988,FALSE
Vermont,47.58,52.42,1988,FALSE
Virginia,39.23,60.77,1988,TRUE
Washington,50.05,49.95,1988,FALSE
West Virginia,52.2,47.8,1988,FALSE
Wisconsin,51.41,48.59,1988,FALSE
Wyoming,38.01,61.99,1988,FALSE
Alabama,40.88,59.12,1992,TRUE
Alaska,30.29,69.71,1992,FALSE
Arizona,36.52,63.48,1992,FALSE
Arkansas,53.21,46.79,1992,TRUE
California,46.01,53.99,1992,FALSE
Colorado,40.13,59.87,1992,FALSE
Connecticut,42.21,57.79,1992,FALSE
Delaware,43.51,56.49,1992,FALSE
DC,84.64,15.36,1992,FALSE
Florida,39,61,1992,TRUE
Georgia,43.47,56.53,1992,TRUE
Hawaii,48.09,51.91,1992,FALSE
Idaho,28.42,71.58,1992,FALSE
Illinois,48.58,51.42,1992,FALSE
Indiana,36.79,63.21,1992,FALSE
Iowa,43.29,56.71,1992,FALSE
Kansas,33.74,66.26,1992,FALSE
Kentucky,44.55,55.45,1992,FALSE
Louisiana,45.58,54.42,1992,TRUE
Maine,38.77,61.23,1992,FALSE
Maryland,49.8,50.2,1992,FALSE
Massachusetts,47.54,52.46,1992,FALSE
Michigan,43.77,56.23,1992,FALSE
Minnesota,43.48,56.52,1992,FALSE
Mississippi,40.77,59.23,1992,TRUE
Missouri,44.07,55.93,1992,FALSE
Montana,37.63,62.37,1992,FALSE
Nebraska,29.4,70.6,1992,FALSE
Nevada,37.36,62.64,1992,FALSE
New Hampshire,38.86,61.14,1992,FALSE
New Jersey,42.95,57.05,1992,FALSE
New Mexico,45.9,54.1,1992,FALSE
New York,49.73,50.27,1992,FALSE
North Carolina,42.65,57.35,1992,TRUE
North Dakota,32.18,67.82,1992,FALSE
Ohio,40.18,59.82,1992,FALSE
Oklahoma,34.02,65.98,1992,FALSE
Oregon,42.48,57.52,1992,FALSE
Pennsylvania,45.15,54.85,1992,FALSE
Rhode Island,47.04,52.96,1992,FALSE
South Carolina,39.88,60.12,1992,TRUE
South Dakota,37.14,62.86,1992,FALSE
Tennessee,47.08,52.92,1992,TRUE
Texas,37.08,62.92,1992,TRUE
Utah,24.65,75.35,1992,FALSE
Vermont,46.11,53.89,1992,FALSE
Virginia,40.59,59.41,1992,TRUE
Washington,43.4,56.6,1992,FALSE
West Virginia,48.41,51.59,1992,FALSE
Wisconsin,41.13,58.87,1992,FALSE
Wyoming,33.98,66.02,1992,FALSE
Alabama,43.16,56.84,1996,TRUE
Alaska,33.27,66.73,1996,FALSE
Arizona,46.52,53.48,1996,FALSE
Arkansas,53.74,46.26,1996,TRUE
California,51.1,48.9,1996,FALSE
Colorado,44.43,55.57,1996,FALSE
Connecticut,52.83,47.17,1996,FALSE
Delaware,51.82,48.18,1996,FALSE
DC,85.19,14.81,1996,FALSE
Florida,48.02,51.98,1996,TRUE
Georgia,45.84,54.16,1996,TRUE
Hawaii,56.93,43.07,1996,FALSE
Idaho,33.65,66.35,1996,FALSE
Illinois,54.32,45.68,1996,FALSE
Indiana,41.55,58.45,1996,FALSE
Iowa,50.26,49.74,1996,FALSE
Kansas,36.08,63.92,1996,FALSE
Kentucky,45.84,54.16,1996,FALSE
Louisiana,52.01,47.99,1996,TRUE
Maine,51.62,48.38,1996,FALSE
Maryland,54.25,45.75,1996,FALSE
Massachusetts,61.47,38.53,1996,FALSE
Michigan,51.69,48.31,1996,FALSE
Minnesota,51.1,48.9,1996,FALSE
Mississippi,44.08,55.92,1996,TRUE
Missouri,47.54,52.46,1996,FALSE
Montana,41.23,58.77,1996,FALSE
Nebraska,34.95,65.05,1996,FALSE
Nevada,43.93,56.07,1996,FALSE
New Hampshire,49.32,50.68,1996,FALSE
New Jersey,53.72,46.28,1996,FALSE
New Mexico,49.18,50.82,1996,FALSE
New York,59.47,40.53,1996,FALSE
North Carolina,44.04,55.96,1996,TRUE
North Dakota,40.13,59.87,1996,FALSE
Ohio,47.38,52.62,1996,FALSE
Oklahoma,40.45,59.55,1996,FALSE
Oregon,47.15,52.85,1996,FALSE
Pennsylvania,49.17,50.83,1996,FALSE
Rhode Island,59.71,40.29,1996,FALSE
South Carolina,43.96,56.04,1996,TRUE
South Dakota,43.03,56.97,1996,FALSE
Tennessee,48,52,1996,TRUE
Texas,43.83,56.17,1996,TRUE
Utah,33.3,66.7,1996,FALSE
Vermont,53.35,46.65,1996,FALSE
Virginia,45.15,54.85,1996,TRUE
Washington,49.84,50.16,1996,FALSE
West Virginia,51.51,48.49,1996,FALSE
Wisconsin,48.81,51.19,1996,FALSE
Wyoming,36.84,63.16,1996,FALSE
Alabama,41.59,58.41,2000,TRUE
Alaska,27.67,72.33,2000,FALSE
Arizona,44.67,55.33,2000,FALSE
Arkansas,45.86,54.14,2000,TRUE
California,53.45,46.55,2000,FALSE
Colorado,42.39,57.61,2000,FALSE
Connecticut,55.91,44.09,2000,FALSE
Delaware,54.96,45.04,2000,FALSE
DC,85.16,14.84,2000,FALSE
Florida,48.84,51.16,2000,TRUE
Georgia,42.98,57.02,2000,TRUE
Hawaii,55.79,44.21,2000,FALSE
Idaho,27.64,72.36,2000,FALSE
Illinois,54.6,45.4,2000,FALSE
Indiana,41.01,58.99,2000,FALSE
Iowa,48.54,51.46,2000,FALSE
Kansas,37.24,62.76,2000,FALSE
Kentucky,41.37,58.63,2000,FALSE
Louisiana,44.88,55.12,2000,TRUE
Maine,49.09,50.91,2000,FALSE
Maryland,56.57,43.43,2000,FALSE
Massachusetts,59.8,40.2,2000,FALSE
Michigan,51.28,48.72,2000,FALSE
Minnesota,47.91,52.09,2000,FALSE
Mississippi,40.7,59.3,2000,TRUE
Missouri,47.08,52.92,2000,FALSE
Montana,33.36,66.64,2000,FALSE
Nebraska,33.25,66.75,2000,FALSE
Nevada,45.98,54.02,2000,FALSE
New Hampshire,46.8,53.2,2000,FALSE
New Jersey,56.13,43.87,2000,FALSE
New Mexico,47.91,52.09,2000,FALSE
New York,60.21,39.79,2000,FALSE
North Carolina,43.2,56.8,2000,TRUE
North Dakota,33.05,66.95,2000,FALSE
Ohio,46.46,53.54,2000,FALSE
Oklahoma,38.43,61.57,2000,FALSE
Oregon,46.96,53.04,2000,FALSE
Pennsylvania,50.6,49.4,2000,FALSE
Rhode Island,60.99,39.01,2000,FALSE
South Carolina,40.91,59.09,2000,TRUE
South Dakota,37.56,62.44,2000,FALSE
Tennessee,47.28,52.72,2000,TRUE
Texas,37.98,62.02,2000,TRUE
Utah,26.34,73.66,2000,FALSE
Vermont,50.63,49.37,2000,FALSE
Virginia,44.44,55.56,2000,TRUE
Washington,50.13,49.87,2000,FALSE
West Virginia,45.59,54.41,2000,FALSE
Wisconsin,47.83,52.17,2000,FALSE
Wyoming,27.7,72.3,2000,FALSE
Alabama,36.84,63.16,2004,TRUE
Alaska,35.52,64.48,2004,FALSE
Arizona,44.4,55.6,2004,FALSE
Arkansas,44.55,55.45,2004,TRUE
California,54.31,45.69,2004,FALSE
Colorado,47.02,52.98,2004,FALSE
Connecticut,54.31,45.69,2004,FALSE
Delaware,53.35,46.65,2004,FALSE
DC,89.18,10.82,2004,FALSE
Florida,47.09,52.91,2004,TRUE
Georgia,41.37,58.63,2004,TRUE
Hawaii,54.01,45.99,2004,FALSE
Idaho,30.26,69.74,2004,FALSE
Illinois,54.82,45.18,2004,FALSE
Indiana,39.26,60.74,2004,FALSE
Iowa,49.23,50.77,2004,FALSE
Kansas,36.62,63.38,2004,FALSE
Kentucky,39.69,60.31,2004,FALSE
Louisiana,42.22,57.78,2004,TRUE
Maine,53.57,46.43,2004,FALSE
Maryland,55.91,44.09,2004,FALSE
Massachusetts,61.94,38.06,2004,FALSE
Michigan,51.23,48.77,2004,FALSE
Minnesota,51.09,48.91,2004,FALSE
Mississippi,39.75,60.25,2004,TRUE
Missouri,46.1,53.9,2004,FALSE
Montana,38.56,61.44,2004,FALSE
Nebraska,32.68,67.32,2004,FALSE
Nevada,47.88,52.12,2004,FALSE
New Hampshire,50.24,49.76,2004,FALSE
New Jersey,52.92,47.08,2004,FALSE
New Mexico,49.05,50.95,2004,FALSE
New York,58.37,41.63,2004,FALSE
North Carolina,43.58,56.42,2004,TRUE
North Dakota,35.5,64.5,2004,FALSE
Ohio,48.71,51.29,2004,FALSE
Oklahoma,34.43,65.57,2004,FALSE
Oregon,51.35,48.65,2004,FALSE
Pennsylvania,50.92,49.08,2004,FALSE
Rhode Island,59.42,40.58,2004,FALSE
South Carolina,40.9,59.1,2004,TRUE
South Dakota,38.44,61.56,2004,FALSE
Tennessee,42.53,57.47,2004,TRUE
Texas,38.22,61.78,2004,TRUE
Utah,26,74,2004,FALSE
Vermont,58.94,41.06,2004,FALSE
Virginia,45.48,54.52,2004,TRUE
Washington,52.82,47.18,2004,FALSE
West Virginia,43.2,56.8,2004,FALSE
Wisconsin,49.7,50.3,2004,FALSE
Wyoming,29.07,70.93,2004,FALSE
Alabama,38.74,61.26,2008,TRUE
Alaska,37.89,62.11,2008,FALSE
Arizona,44.91,55.09,2008,FALSE
Arkansas,38.86,61.14,2008,TRUE
California,60.94,39.06,2008,FALSE
Colorado,53.66,46.34,2008,FALSE
Connecticut,60.59,39.41,2008,FALSE
Delaware,61.91,38.09,2008,FALSE
DC,92.46,7.54,2008,FALSE
Florida,50.91,49.09,2008,TRUE
Georgia,46.9,53.1,2008,TRUE
Hawaii,71.85,28.15,2008,FALSE
Idaho,35.91,64.09,2008,FALSE
Illinois,61.85,38.15,2008,FALSE
Indiana,49.86,50.14,2008,FALSE
Iowa,53.93,46.07,2008,FALSE
Kansas,41.57,58.43,2008,FALSE
Kentucky,41.15,58.85,2008,FALSE
Louisiana,39.93,60.07,2008,TRUE
Maine,57.71,42.29,2008,FALSE
Maryland,61.92,38.08,2008,FALSE
Massachusetts,61.8,38.2,2008,FALSE
Michigan,57.33,42.67,2008,FALSE
Minnesota,54.06,45.94,2008,FALSE
Mississippi,43,57,2008,TRUE
Missouri,49.23,50.77,2008,FALSE
Montana,47.11,52.89,2008,FALSE
Nebraska,41.6,58.4,2008,FALSE
Nevada,55.15,44.85,2008,FALSE
New Hampshire,54.13,45.87,2008,FALSE
New Jersey,57.14,42.86,2008,FALSE
New Mexico,56.91,43.09,2008,FALSE
New York,62.88,37.12,2008,FALSE
North Carolina,49.7,50.3,2008,TRUE
North Dakota,44.5,55.5,2008,FALSE
Ohio,51.38,48.62,2008,FALSE
Oklahoma,34.35,65.65,2008,FALSE
Oregon,56.75,43.25,2008,FALSE
Pennsylvania,54.47,45.53,2008,FALSE
Rhode Island,62.86,37.14,2008,FALSE
South Carolina,44.9,55.1,2008,TRUE
South Dakota,44.75,55.25,2008,FALSE
Tennessee,41.79,58.21,2008,TRUE
Texas,43.63,56.37,2008,TRUE
Utah,34.22,65.78,2008,FALSE
Vermont,67.46,32.54,2008,FALSE
Virginia,52.63,47.37,2008,TRUE
Washington,57.34,42.66,2008,FALSE
West Virginia,42.51,57.49,2008,FALSE
Wisconsin,56.22,43.78,2008,FALSE
Wyoming,32.54,67.46,2008,FALSE
Alabama,38.36,61.64,2012,TRUE
Alaska,40.81,59.19,2012,FALSE
Arizona,44.45,55.55,2012,FALSE
Arkansas,36.88,63.12,2012,TRUE
California,60.24,39.76,2012,FALSE
Colorado,51.49,48.51,2012,FALSE
Connecticut,58.06,41.94,2012,FALSE
Delaware,58.61,41.39,2012,FALSE
DC,90.91,9.09,2012,FALSE
Florida,49.91,50.09,2012,TRUE
Georgia,45.48,54.52,2012,TRUE
Hawaii,70.55,29.45,2012,FALSE
Idaho,32.4,67.6,2012,FALSE
Illinois,57.6,42.4,2012,FALSE
Indiana,43.93,56.07,2012,FALSE
Iowa,51.99,48.01,2012,FALSE
Kansas,37.99,62.01,2012,FALSE
Kentucky,37.8,62.2,2012,FALSE
Louisiana,40.58,59.42,2012,TRUE
Maine,56.27,43.73,2012,FALSE
Maryland,61.97,38.03,2012,FALSE
Massachusetts,60.65,39.35,2012,FALSE
Michigan,54.13,45.87,2012,FALSE
Minnesota,52.65,47.35,2012,FALSE
Mississippi,43.79,56.21,2012,TRUE
Missouri,44.38,55.62,2012,FALSE
Montana,41.7,58.3,2012,FALSE
Nebraska,38.03,61.97,2012,FALSE
Nevada,52.36,47.64,2012,FALSE
New Hampshire,51.98,48.02,2012,FALSE
New Jersey,58.22,41.78,2012,FALSE
New Mexico,52.99,47.01,2012,FALSE
New York,62.37,37.63,2012,FALSE
North Carolina,48.35,51.65,2012,TRUE
North Dakota,38.7,61.3,2012,FALSE
Ohio,50.67,49.33,2012,FALSE
Oklahoma,33.23,66.77,2012,FALSE
Oregon,54.24,45.76,2012,FALSE
Pennsylvania,51.97,48.03,2012,FALSE
Rhode Island,62.7,37.3,2012,FALSE
South Carolina,44.09,55.91,2012,TRUE
South Dakota,39.87,60.13,2012,FALSE
Tennessee,39.08,60.92,2012,TRUE
Texas,41.38,58.62,2012,TRUE
Utah,24.69,75.31,2012,FALSE
Vermont,66.57,33.43,2012,FALSE
Virginia,51.16,48.84,2012,TRUE
Washington,56.16,43.84,2012,FALSE
West Virginia,35.53,64.47,2012,FALSE
Wisconsin,52.78,47.22,2012,FALSE
Wyoming,27.82,72.18,2012,FALSE
